,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
898,26,2020-12-09 00:00:00,Thesundaily,Tech event expected to bring RM500m economic boost,2,"['boost', 0.4019]",[],2020,December,09,0.402,1,1,0.9999999999175309
899,27,2020-12-06 00:00:00,Focus Malaysia,Use data driven approach for policy making,2,[],[],2020,December,06,0.0,2,1,0.9999999984370391
900,28,2020-11-30 00:00:00, Newsmalaysiamsn,Now's the time to go into business,2,[],[],2020,November,30,0.0,2,1,0.999999999999999
901,29,2020-11-28 00:00:00, Mymetro,Rebuild the tourism economy,2,[],[],2020,November,28,0.0,2,1,0.9999242389599999
902,30,2020-11-26 00:00:00,The Malay Mail Online,Research houses mixed on Malaysia's 2021 OPR outlook,2,[],[],2020,November,26,0.0,2,1,0.9999999999999802
903,31,2020-11-24 00:00:00,Bernama,MEDAC to boost SME businesses via e-commerce platform,2,"['boost', 0.4019]",[],2020,November,24,0.402,1,1,0.9999999999998838
904,32,2020-11-23 00:00:00,Bernama,The green zone domestic travel bubble initiative is the government's effort to recover the tourism sector,2,[],[],2020,November,23,0.0,2,1,0.9999999999984684
905,33,2020-11-14 00:00:00,Dailyexpress,M'sia's GDP at -2.7pc in 3Q20: DOSM,2,[],[],2020,November,14,0.0,2,1,0.999999940853453
906,34,2020-11-14 00:00:00, Dailyexpress,Growth trajectory on track: BNM,2,"['Growth', 0.3818]",[],2020,November,14,0.382,1,1,0.9999999999920268
907,35,2020-11-14 00:00:00,Theborneopost,DOSM: Malaysia's GDP at -2.7 pct in 3Q20,2,[],[],2020,November,14,0.0,2,1,0.999995986713
908,36,2020-11-14 00:00:00, Theborneopost,2021 growth trajectory on track despite CMCO,2,"['growth', 0.3818]",[],2020,November,14,0.382,1,1,0.9999999958215895
909,37,2020-11-13 00:00:00, The Malay Mail Online,Bank Negara: Foreign investors not turning away from Malaysia despite RM0.8b FDI outflow in Q3 2020; private investment growth to rebound in 2021,2,"['growth', 0.3818]",[],2020,November,13,0.382,1,0,-0.9977939700999999
910,38,2020-11-13 00:00:00, The Third Force,Bank Negara warns against debt-fuelled economic growth,2,"['growth', 0.3818]","['warns', -0.1027]",2020,November,13,0.296,1,1,0.9881399963
911,39,2020-11-13 00:00:00,Selangor Journal,Malaysia's GDP at -2.7 pct in third quarter - Statistics dept,2,[],[],2020,November,13,0.0,2,1,0.9999989976605
912,40,2020-11-13 00:00:00,Malaysians Must Know The Truth,Growth trajectory for 2021 on track despite CMCO - BNM governor,2,"['Growth', 0.3818]",[],2020,November,13,0.382,1,1,0.999999979913023
913,41,2020-11-13 00:00:00,The Malaysian Reserve,Malaysia's GDP at -2.7% in 3Q20 - DOSM,2,[],[],2020,November,13,0.0,2,1,0.41979225000000003
914,42,2020-11-13 00:00:00,Mysinchew.Com,Q3 GDP at -2.7,2,[],[],2020,November,13,0.0,2,1,0.999999985589316
915,43,2020-11-13 00:00:00,Bernama,Malaysia's GDP at -2.7 pct in 3Q20 -- DOSM,2,[],[],2020,November,13,0.0,2,1,0.99999994523554
916,44,2020-11-13 00:00:00, Selangor Journal,Growth trajectory for 2021 on track despite CMCO - BNM Governor,2,"['Growth', 0.3818]",[],2020,November,13,0.382,1,1,0.999999979913023
917,45,2020-11-13 00:00:00, Bernama,Growth trajectory for 2021 on track despite CMCO -- BNM Governor,2,"['Growth', 0.3818]",[],2020,November,13,0.382,1,1,0.999999979913023
918,46,2020-11-04 00:00:00,Bernama,Invest in healthcare and education sectors to mitigate underemployment -- REFSA,2,[],[],2020,November,04,0.0,2,1,0.9999998194192
919,47,2020-11-04 00:00:00,Theedgemalaysia,Cover Story: All hands on deck for Sabah,2,[],[],2020,November,04,0.0,2,1,0.99999978877337
920,48,2020-10-31 00:00:00,Theedgemalaysia,Why Sabah is struggling to contain its Covid-19 crisis,2,[],"['struggling', -0.4215, 'crisis', -0.6249]",2020,October,31,-0.784,0,0,-0.99999998068851
921,49,2020-10-28 00:00:00,Bernama,PIKOM calls for digital transformation inclusivity in Budget 2021,2,[],[],2020,October,28,0.0,2,1,0.9999911639287
922,50,2020-10-26 00:00:00,Theedgemalaysia,"The Week Ahead: Malaysian politics, US 3Q GDP and meeting of China's top leaders in focus",2,"['top', 0.2023]",[],2020,October,26,0.202,1,1,0.999999960443056
923,51,2020-10-24 00:00:00,Theedgemalaysia,A different approach to retirement investing,2,[],[],2020,October,24,0.0,2,1,0.999999999999759
924,52,2020-10-22 00:00:00,Focus Malaysia,GDP forecast to reach -4.4% due to CMCO,2,"['reach', 0.0258]",[],2020,October,22,0.026,1,1,0.999999957515918
925,53,2020-10-21 00:00:00, Amiruddin Shari,Online Daily News : Selangor highlights PKS efforts to deal with the impact of COVID-19,2,[],[],2020,October,21,0.0,2,1,0.9999999985520139
926,54,2020-10-20 00:00:00,Bharian,Selangor is highlighting PKS' efforts to deal with the impact of COVID-19,2,[],[],2020,October,20,0.0,2,1,0.999999997792746
927,55,2020-10-17 00:00:00, Minda Rakyat,Numbers That Need To Be Observed - Syahir Sulaiman,2,[],[],2020,October,17,0.0,2,0,-0.99955826676
928,56,2020-10-16 00:00:00, Selangor Journal,Selangor launch video series on MSMEs' survival during Covid-19 pandemic,2,[],[],2020,October,16,0.0,2,1,0.9999999999999534
929,57,2020-10-16 00:00:00,1media,Numbers That Need To Be Observed - Syahir Sulaiman,2,[],[],2020,October,16,0.0,2,0,-0.99955826676
930,58,2020-10-16 00:00:00,Harakahdaily,The numbers to watch,2,[],[],2020,October,16,0.0,2,1,0.9999909153806
931,59,2020-09-29 00:00:00,Malaysians Must Know The Truth,"Thus ends Sabah distraction, next stop - the recession",2,[],"['distraction', -0.3818, 'stop', -0.296, 'recession', -0.4215]",2020,September,29,-0.765,0,0,-0.99961411892
932,60,2020-09-29 00:00:00,News Sabah Times,"Upward trend in LI boost consumer, investor sentiment - Economists",2,"['boost', 0.4019]",[],2020,September,29,0.402,1,1,0.9942936407
933,61,2020-09-28 00:00:00, Bernama,"Upward trend in LI boost consumer, investor sentiment -- Economists",2,"['boost', 0.4019]",[],2020,September,28,0.402,1,1,0.9942936407
934,62,2020-09-28 00:00:00, Theedgemalaysia,The State of the Nation: The reopening-of-borders conundrum,2,[],[],2020,September,28,0.0,2,0,-0.9996436881499999
935,63,2020-09-27 00:00:00,Selangor Journal,PM: Collective action of international community key to recovery from Covid-19,2,[],[],2020,September,27,0.0,2,1,0.9999999999999998
936,64,2020-09-27 00:00:00,Theborneopost,Collective action of international community key to recovery from Covid-19 - Muhyiddin,2,[],[],2020,September,27,0.0,2,1,0.999999999998972
937,65,2020-09-26 00:00:00, Bernama,Collective action of international community key to recovery from COVID-19 -- Muhyiddin,2,[],[],2020,September,26,0.0,2,1,0.999999999998972
938,66,2020-09-26 00:00:00,Theedgemalaysia,Collective action of international community key to recovery from COVID-19 - Muhyiddin,2,[],[],2020,September,26,0.0,2,1,0.999999999998972
939,67,2020-09-26 00:00:00,Malaysia News,Collective action of international community key to recovery from Covid-19 - Muhyiddin,2,[],[],2020,September,26,0.0,2,1,0.999999999998972
940,68,2020-09-26 00:00:00,The Malay Mail Online,Muhyiddin: Collective action of international community key to recovery from Covid-19,2,[],[],2020,September,26,0.0,2,1,0.9999999999999913
941,69,2020-09-24 00:00:00,Money Compass,Government announces RM10bil Kita Prihatin package,2,[],[],2020,September,24,0.0,2,1,0.9999999999989333
942,70,2020-09-24 00:00:00,Dailyexpress,Govt announces RM10 billion Kita Prihatin package,2,[],[],2020,September,24,0.0,2,1,0.9999999994232966
943,71,2020-09-23 00:00:00,Selangor Journal,Govt announces RM10bln Kita Prihatin package,2,[],[],2020,September,23,0.0,2,1,0.9999999999941217
944,72,2020-09-23 00:00:00,Bernama,Govt announces RM10 bln KITA PRIHATIN Package,2,[],[],2020,September,23,0.0,2,1,0.9999999999992553
945,73,2020-09-23 00:00:00, Theedgemalaysia,Govt annnounces RM10b Kita Prihatin package,2,[],[],2020,September,23,0.0,2,1,0.9999999999623973
946,74,2020-09-23 00:00:00,Astro Awani,Sabah a new economic power? It's okay,2,[],[],2020,September,23,0.226,1,1,0.99913894823
947,75,2020-09-20 00:00:00,The Star,Tending to matters of the heart,2,"['matters', 0.0258]",[],2020,September,20,0.026,1,1,0.9999999999980125
948,76,2020-09-18 00:00:00,Selangor Journal,Domestic tourism grows 12 pct to RM92.6 bln in 2019 - DOSM,2,[],[],2020,September,18,0.0,2,1,0.9999999999999992
949,77,2020-09-18 00:00:00, The Malaysian Reserve,Domestic tourism grows 12% to RM92.6 bln in 2019 - DOSM,2,[],[],2020,September,18,0.0,2,1,0.9999999999999999
950,78,2020-09-18 00:00:00, Sinarharian,Domestic tourism increased 12 percent,2,[],[],2020,September,18,0.273,1,1,0.999999980217124
951,79,2020-09-18 00:00:00,Bernama,Domestic tourism grows 12 per cent to RM92.6 bln in 2019 - DOSM,2,[],[],2020,September,18,0.0,2,1,0.999999999999967
952,80,2020-09-18 00:00:00, Bernama,Domestic tourism grows 12 per cent to RM92.6 bln in 2019 - DOSM,2,[],[],2020,September,18,0.0,2,1,0.999999999999967
953,81,2020-09-18 00:00:00,Mymetro,Domestic tourism 2019 increased,2,[],[],2020,September,18,0.273,1,1,0.9999999999987009
954,82,2020-09-18 00:00:00,Bernama,Domestic tourism increased 12 percent to RM92.6 bln in 2019 -- DOSM,2,[],[],2020,September,18,0.273,1,1,0.999999999730802
955,83,2020-09-18 00:00:00,Thesundaily,Domestic tourism grows 12 percent to RM92.6B in 2019 - DOSM,2,[],[],2020,September,18,0.0,2,1,0.9999999999992942
956,84,2020-09-18 00:00:00,Kosmo,Discordant shopping activity 42.1 percent,2,[],[],2020,September,18,0.0,2,1,0.9987950305000001
957,85,2020-09-16 00:00:00,Dailyexpress,Analyst: M'sia set for economic rebound in Q3,2,[],[],2020,September,16,0.0,2,1,0.999975471984
958,86,2020-09-15 00:00:00, Malaysia Gazette,The stimulus package proved successful in absorbing the impact of Covid-19,2,[],[],2020,September,15,0.586,1,1,0.9999998249873641
959,87,2020-09-15 00:00:00,Bernama,Malaysia set for economic rebound in Q3 - Analyst,2,[],[],2020,September,15,0.0,2,1,0.9999976461951
960,88,2020-09-15 00:00:00,Bernama,Malaysia set for economic rebound in Q3 - Analyst,2,[],[],2020,September,15,0.0,2,1,0.9999976461951
961,89,2020-09-14 00:00:00, Selangor Journal,Belanjawan Selangor 2021: A clarion call to action,2,[],[],2020,September,14,0.0,2,1,1.0
962,90,2020-09-14 00:00:00,m-Update,Buy Malaysian Goods Campaign (KBBM) 2020,2,[],[],2020,September,14,0.0,2,1,0.9999999996835741
963,91,2020-09-13 00:00:00, Sinarharian,Malaysian-made goods stimulate the domestic economy,2,[],[],2020,September,13,0.226,1,1,0.9999999999797606
964,92,2020-09-13 00:00:00, Bharian,The Buy Malaysia Goods campaign boosts the economy,2,[],[],2020,September,13,0.318,1,1,0.999991631026
965,93,2020-09-13 00:00:00, Bernama,Malaysian Made Goods stimulate the domestic economy,2,[],[],2020,September,13,0.226,1,1,0.9999997356672301
966,94,2020-09-05 00:00:00, Malaysia News,Pivot towards digital economy amid Covid-19 outbreak,2,[],[],2020,September,05,0.0,2,1,0.999999985470306
967,95,2020-09-02 00:00:00,Money Compass,Extending RM100 million in financing to assist SMEs,2,[],[],2020,September,02,0.0,2,1,0.9999999999999961
968,96,2020-08-30 00:00:00,Bharian,Find an antidote to the 'al-gharimin' cluster before it's too late,2,[],[],2020,August,30,0.0,2,0,-0.9999949445684
969,97,2020-08-30 00:00:00, Info Rakyat My,The government continues the PKPP without extending the moratorium - questions Guan Eng,2,[],[],2020,August,30,0.0,2,1,0.869301185
970,98,2020-08-29 00:00:00, Dialog Rakyat,Lim questioned the government extending the PKPP without additional economic aid,2,[],[],2020,August,29,-0.103,0,0,-0.94214416
971,99,2020-08-29 00:00:00,Malaysians Must Know The Truth,Guan Eng calls out PM for extending RMCO without economic provisions,2,[],[],2020,August,29,0.0,2,1,0.9999999999815671
972,100,2020-08-29 00:00:00,Malaysia Kini Bm,Lim questioned the government extending the PKPP without additional economic aid,2,[],[],2020,August,29,-0.103,0,0,-0.94214416
973,101,2020-08-28 00:00:00,New Strait Times,Independents might be kingmakers in Sabah state election,2,[],[],2020,August,28,0.0,2,1,0.9999951883520001
974,102,2020-08-27 00:00:00,The Malay Mail Online,Sabah votes 2020: Tough battle ahead - Jason Loh,2,[],"['Tough', -0.128, 'battle', -0.3818]",2020,August,27,-0.477,0,1,0.9999999999874487
975,103,2020-08-22 00:00:00,Aliran,"As uncertainty grips economy, urgent need to protect the vulnerable",2,"['urgent', 0.2023, 'protect', 0.3818]","['uncertainty', -0.34, 'vulnerable', -0.2263]",2020,August,22,0.026,1,1,0.9999932660848
976,104,2020-08-21 00:00:00,Astro Awani,Malaysia's efforts in dealing with the COVID-19 pandemic,2,[],[],2020,August,21,0.0,2,1,0.99979470503
977,105,2020-08-20 00:00:00,Bernama,Labor productivity per employee fell 16 percent in the second quarter of 2020 - Department of Statistics,2,[],[],2020,August,20,0.0,2,0,-0.32025729999999997
978,106,2020-08-19 00:00:00,Selangor Journal,Labour productivity per person employed down 16 pct in Q2 2020 - DOSM,2,[],[],2020,August,19,0.0,2,1,0.5331833399999999
979,107,2020-08-19 00:00:00, Digital News Asia,Exabytes launches Sama-Sama Digital to spur Bumiputera SMEs to digitalise,2,[],[],2020,August,19,0.0,2,1,0.999999999977192
980,108,2020-08-19 00:00:00, Digital News Asia,Exabytes launches Sama-Sama Digital to spur Bumiputera SMEs to digitalise,2,[],[],2020,August,19,0.0,2,1,0.999999999977192
981,109,2020-08-19 00:00:00, The Malay Mail Online,Statistics Dept: Labour productivity per person employed down 16pc in Q2 2020,2,[],[],2020,August,19,0.0,2,1,0.9965619558
982,110,2020-08-19 00:00:00,Bernama,Labour productivity per person employed down 16 pct in Q2 2020 - DOSM,2,[],[],2020,August,19,0.0,2,1,0.5331833399999999
983,111,2020-08-18 00:00:00,Wartawan Rasmi Laman Reformasi,"Revive the economy, the allocation should be higher - Anwar",2,[],[],2020,August,18,0.34,1,1,0.9999935878418
984,112,2020-08-17 00:00:00,The Rocket,Malaysia is headed for a severe economic recession unless Perikatan Nasional does this one thing,2,[],"['severe', -0.3818, 'recession', -0.4215]",2020,August,17,-0.66,0,1,0.9998627192139999
985,113,2020-08-17 00:00:00,Minda Rakyat,"While Becoming Minister of Finance, Ask the People to Tie Up Their Stomachs, Be Independent (read stingy)",2,[],[],2020,August,17,0.0,2,0,-0.21545980000000003
986,114,2020-08-17 00:00:00, The Malaysian Reserve,"Malaysia needs a post-Covid-19 stimulus package, says Lim",2,[],[],2020,August,17,0.0,2,1,0.9999995108068
987,115,2020-08-16 00:00:00,Malaysians Must Know The Truth,Another RM45b stimulus package needed to battle recession - Guan Eng,2,[],"['battle', -0.3818, 'recession', -0.4215]",2020,August,16,-0.66,0,1,0.99897413056
988,116,2020-08-16 00:00:00,Malaysia Gazette,Sabah's GDP under Shafie plunged badly - Hajiji,2,[],[],2020,August,16,-0.477,0,0,-0.9999987494382699
989,117,2020-08-16 00:00:00,Borneonews.Net,"Sabah's economy is sluggish, GDP 0.5 percent under the Warisan-Hajiji administration",2,[],[],2020,August,16,-0.402,0,1,0.9057785119999999
990,118,2020-08-16 00:00:00,Malaysia Kini Bm,Another economic stimulus package of RM45b is needed - Guan Eng,2,[],[],2020,August,16,0.0,2,1,0.999999998403733
991,119,2020-08-16 00:00:00, Borneonews.Net,"Sabah's economy is sluggish, GDP 0.5 percent under the Warisan-Hajiji administration",2,[],[],2020,August,16,-0.402,0,1,0.9057785119999999
992,120,2020-08-16 00:00:00, The Malay Mail Online,Ex-finance minister urges decisive Putrajaya intervention to stave off economic death spiral,2,"['decisive', 0.2263]","['death', -0.5994]",2020,August,16,-0.459,0,1,0.952492746
993,121,2020-08-16 00:00:00,Malaysia Gazette,The country needs another stimulus package to avoid economic recession - Guan Eng,2,[],[],2020,August,16,-0.612,0,0,-0.977030374
994,122,2020-08-16 00:00:00, News Yahoo Malaysia,Another RM45b stimulus package needed to battle recession - Guan Eng,2,[],"['battle', -0.3818, 'recession', -0.4215]",2020,August,16,-0.66,0,1,0.99897413056
995,123,2020-08-15 00:00:00,The Malay Mail Online,"MTUC to Putrajaya: Stop painting rosy economic picture, time for reality check",2,[],"['Stop', -0.296]",2020,August,15,-0.296,0,0,-0.9999999999917696
996,124,2020-08-15 00:00:00, Bharian,The rise of the Malaysian economy,2,[],[],2020,August,15,0.0,2,1,0.999981365715
997,125,2020-08-15 00:00:00,News Yahoo Malaysia,"MTUC to Putrajaya: Stop painting rosy economic picture, time for reality check",2,[],"['Stop', -0.296]",2020,August,15,-0.296,0,0,-0.9999999999917696
998,126,2020-08-14 00:00:00, Malaysians Must Know The Truth,GDP nosedives in Q2 due to economic pause in April,2,[],[],2020,August,14,0.0,2,1,0.9999915747777
999,127,2020-08-14 00:00:00,The Malaysian Reserve,"Malaysia's GDP falls 17.1% in 2Q20, lowest since 1998",2,[],"['lowest', -0.3818]",2020,August,14,-0.382,0,1,0.999957999665
1000,128,2020-08-14 00:00:00,Astro Awani,GDP shrank 17.1 percent in the second quarter of 2020,2,[],[],2020,August,14,0.0,2,1,0.897144296
1001,129,2020-08-14 00:00:00, Astro Awani,GDP -17.1 percent is not in line with the national unemployment rate - Economic analysts,2,[],[],2020,August,14,-0.44,0,0,-0.9999898000053
1002,130,2020-08-14 00:00:00, The Malaysian Reserve,Jobs in private sector down to 8.4m in 2Q,2,[],[],2020,August,14,0.0,2,0,-0.99999979756859
1003,131,2020-08-13 00:00:00,Bernama,Employment in the private sector declined to 8.4 million in the second quarter,2,[],[],2020,August,13,0.0,2,0,-0.99999835304354
1004,132,2020-08-13 00:00:00, Bharian,The number of jobs in the private sector decreased,2,[],[],2020,August,13,0.077,1,0,-0.999995206412
1005,133,2020-08-13 00:00:00, Astro Awani,Second quarter growth is expected to be negative but shows a recovery,2,[],[],2020,August,13,-0.141,0,1,0.99999933751977
1006,134,2020-08-12 00:00:00,Selangor Journal,"Selangor recorded high GDP per capita, exceeds national level",2,[],[],2020,August,12,0.0,2,1,0.9999999999846871
1007,135,2020-08-12 00:00:00,News Sabah Times,Mission to drive Sabah back on track: Musa,2,[],[],2020,August,12,0.0,2,1,0.9999999999971266
1008,136,2020-08-12 00:00:00,Harakahdaily,The hard work of the Kelantan GDP surge officer,2,[],[],2020,August,12,-0.103,0,1,1.0
1009,137,2020-08-11 00:00:00,Sinarharian,"Sabah's steering mission is back on track, said Musa Aman",2,[],[],2020,August,11,0.0,2,1,0.9999999999919873
1010,138,2020-08-11 00:00:00,Sabah Post,Sabah Steering Mission Back to the Right Track - Musa Aman,2,[],[],2020,August,11,0.0,2,1,0.9999999999997694
1011,139,2020-08-11 00:00:00, Sabah Post,"Sabah Will Continue To Be Left Behind Under Shafie's Leadership, Said Musa",2,[],[],2020,August,11,0.0,2,1,0.9999999999999994
1012,140,2020-08-11 00:00:00,Theedgemalaysia,"Steer Sabah back to right path, says Musa Aman | The Edge Markets",2,[],[],2020,August,11,0.0,2,1,0.9999999999328925
1013,141,2020-08-11 00:00:00, Bernama,Sabah steering mission back on track - Musa Aman,2,[],[],2020,August,11,0.0,2,1,0.9999999999995368
1014,142,2020-08-11 00:00:00,Borneonews.Net,Driving Sabah back to the right track,2,[],[],2020,August,11,0.0,2,1,0.9999998288379001
1015,143,2020-08-11 00:00:00, Sinarharian,Unite to free Sabah from economic oppression: Musa,2,[],[],2020,August,11,0.511,1,1,0.999999821495764
1016,144,2020-08-11 00:00:00,Freemalaysiatoday,"Sabah will continue to fall behind under Shafie's leadership, said Musa",2,[],[],2020,August,11,0.0,2,1,0.9999999999999999
1017,145,2020-08-11 00:00:00,Borneonews.Net,Driving Sabah back to the right track,2,[],[],2020,August,11,0.0,2,1,0.9999998288379001
1018,146,2020-08-11 00:00:00,Theedgemalaysia,How steep will Malaysia's 2Q20 GDP contraction be,2,[],[],2020,August,11,0.0,2,1,0.9999997947150301
1019,147,2020-08-10 00:00:00,The Malay Mail Online,"Various measures taken for state GDP growth amid pandemic situation, says Melaka CM",2,"['growth', 0.3818]",[],2020,August,10,0.382,1,1,0.9990315116199999
1020,148,2020-08-10 00:00:00,Bernama,Various measures taken for state GDP growth amidst pandemic situation - Melaka CM,2,"['growth', 0.3818]",[],2020,August,10,0.382,1,1,0.99999884121373
1021,149,2020-08-10 00:00:00,Bernama,Attract local and foreign investors to ensure GDP is increased - KM Melaka,2,[],[],2020,August,10,0.735,1,1,0.999999981310204
1022,150,2020-08-10 00:00:00, New Strait Times,We already have agencies to help people in need,2,"['help', 0.4019]",[],2020,August,10,0.402,1,1,0.9999964532625999
1023,151,2020-08-10 00:00:00,The Malaysian Reserve,Covid-19 pushes more Malaysians into poverty,2,[],"['poverty', -0.5106]",2020,August,10,-0.552,0,0,-0.999999995204602
1024,152,2020-08-08 00:00:00,The Star,Finance Minister: Decrease in country's GDP for second quarter of 2020 predicted,2,[],[],2020,August,08,0.0,2,1,0.99940293252
1025,153,2020-08-08 00:00:00,Utusan,Economic stimulus has an impact,2,[],[],2020,August,08,0.0,2,1,0.9999999999148692
1026,154,2020-08-07 00:00:00,Johor Kini,Seven states recorded higher GDP growth than the national level in 2019,2,[],[],2020,August,07,0.382,1,1,0.99999899174634
1027,155,2020-08-06 00:00:00,Borneo Today,Seven states including Labuan recorded higher GDP growth than the national level in 2019,2,[],[],2020,August,06,0.382,1,1,0.99999975164187
1028,156,2020-08-06 00:00:00,Borneo Today,"Seven states, including Labuan posted higher GDP growth than national level in 2019",2,"['growth', 0.3818]",[],2020,August,06,0.382,1,1,0.99999928129358
1029,157,2020-08-06 00:00:00,Sinarharian,7 states recorded GDP growth higher than the national level,2,[],[],2020,August,06,0.382,1,1,0.99999880724655
1030,158,2020-08-06 00:00:00,New Strait Times,Malaysia's key economic sectors gradually recover,2,[],[],2020,August,06,0.0,2,1,0.9999999999375297
1031,159,2020-08-06 00:00:00, Bernama,Seven states recorded higher GDP growth than the national level in 2019,2,[],[],2020,August,06,0.382,1,1,0.99999899174634
1032,160,2020-08-06 00:00:00,Bernama,Seven states posted higher GDP growth than national level in 2019,2,"['growth', 0.3818]",[],2020,August,06,0.382,1,1,0.9999971904523001
1033,161,2020-08-05 00:00:00,Thesundaily,Is construction sector only for foreign workers?,2,[],[],2020,August,05,0.0,2,1,0.9999969308644
1034,162,2020-08-04 00:00:00, Sabah Post,"Stop Blaming Others, Just Acknowledge Inherited Weaknesses, Says Former KM Sabah",2,[],[],2020,August,04,-0.784,0,0,-0.9999999999947059
1035,163,2020-08-04 00:00:00,Freemalaysiatoday,"Stop blaming others, just admit Warisan's weaknesses, said the former Sabah KM",2,[],[],2020,August,04,-0.727,0,0,-0.9999999967082893
1036,164,2020-08-03 00:00:00,Theedgemalaysia,"The Week Ahead: Eyes on trials of Najib and Rosmah, China trade data | The Edge Markets",2,[],[],2020,August,03,0.0,2,1,0.999999999999426
1037,165,2020-08-03 00:00:00, Mymetro,Build a stable and solid career in the new norm,2,[],[],2020,August,03,0.421,1,1,0.9999999999999998
1038,166,2020-07-30 00:00:00, Bernama,"Moratorium: ""Cleaner slate"" for banks to move forward",2,"['Cleaner', 0.1779]",[],2020,July,30,0.178,1,1,0.99999950410912
1039,167,2020-07-30 00:00:00, Bernama,The moratorium puts banks in a 'better position' to move forward,2,[],[],2020,July,30,0.44,1,1,0.999999947253208
1040,168,2020-07-30 00:00:00, Utusan,Bank please make it easy,2,[],[],2020,July,30,0.637,1,1,0.99989792654
1041,169,2020-07-29 00:00:00,Bernama,The contribution of SMEs to Malaysia's GDP increased to 38.9 percent in 2019,2,[],[],2020,July,29,0.273,1,1,0.9999998250184
1042,170,2020-07-29 00:00:00,Bernama,SMEs' contribution to GDP rises to 38.9 pct in 2019 -- DOSM,2,[],[],2020,July,29,0.0,2,1,0.9999999999973858
1043,171,2020-07-28 00:00:00,Theedgemalaysia,"Malaysia's June exports rise 8.8%, surpass expectations and point to encouraging economic rebound | The Edge Markets",2,"['encouraging', 0.5267]",[],2020,July,28,0.527,1,1,0.99999999996057
1044,172,2020-07-27 00:00:00, Theedgemalaysia,"The Week Ahead: Verdict on Najib's SRC case, FOMC meeting, 2Q GDP in focus",2,"['Verdict', 0.1531]",[],2020,July,27,0.153,1,1,0.99969846423
1045,173,2020-07-27 00:00:00,The Malaysian Reserve,Domestic food production should be a priority,2,[],[],2020,July,27,0.0,2,1,0.9976907395
1046,174,2020-07-21 00:00:00,Bharian,Malaysia recorded lower domestic investment in 2019,2,[],[],2020,July,21,-0.296,0,1,0.999999991833226
1047,175,2020-07-20 00:00:00,Newsmalaysiamsn,"Data shows Perikatan govt's initiatives reducing unemployment during RMCO, says HR minister",2,[],"['unemployment', -0.4404]",2020,July,20,-0.44,0,0,-0.9999933123936999
1048,176,2020-07-20 00:00:00,The Malay Mail Online,"Data shows Perikatan govt's initiatives reducing unemployment during RMCO, says HR minister",2,[],"['unemployment', -0.4404]",2020,July,20,-0.44,0,0,-0.9999933123936999
1049,177,2020-07-14 00:00:00, Utusan Borneo,Need to review,2,[],[],2020,July,14,0.0,2,0,-0.99935670375
1050,178,2020-07-06 00:00:00,Freemalaysiatoday,The changing face of e-commerce,2,[],[],2020,July,06,0.0,2,1,0.9999999999273567
1051,179,2020-07-05 00:00:00, Malaysia Chronicle,"MAHATHIR - PURE RACISM, BLACK-HEARTEDNESS?: IS IT A SIN TO BE RICH? OR ONLY FOR THE CHINESE? WHAT ABOUT YOUR BILLIONAIRE CRONIES LIKE DAIM AND YOUR BILLIONAIRE SONS?",2,"['RICH', 0.5574, 'LIKE', 0.3612]","['RACISM', -0.6249, 'SIN', -0.5574]",2020,July,05,-0.551,0,0,-0.9999999995141864
1052,180,2020-06-25 00:00:00,Money Compass,IMF revises Malaysia 2020 GDP forecast from 1.7% to 3.8% contraction,2,[],[],2020,June,25,0.0,2,1,0.999911626526
1053,181,2020-06-25 00:00:00,Theedgemalaysia,IMF revises Malaysian 2020 GDP contraction to 3.8% from 1.7,2,[],[],2020,June,25,0.0,2,1,0.999900114284
1054,182,2020-06-23 00:00:00,Sinarharian,The change of government affects Terengganu's GDP,2,[],[],2020,June,23,0.0,2,1,0.9999997411953601
1055,183,2020-06-12 00:00:00, Bernama,"Industrial production to make a comeback in near term, says Kenanga",2,[],[],2020,June,12,0.0,2,1,0.9999945401677
1056,184,2020-06-12 00:00:00,The Malay Mail Online,Kenanga: Industrial production to make a comeback in near term,2,[],[],2020,June,12,0.0,2,1,0.9999973407387001
1057,185,2020-06-10 00:00:00,Dailyexpress,Prihatin to be implemented concurrently with Penjana,2,[],[],2020,June,10,0.0,2,1,0.9999998402136401
1058,186,2020-06-10 00:00:00,Money Compass,Various PRIHATIN measures to be implemented concurrently with PENJANA,2,[],[],2020,June,10,0.0,2,1,0.9999999999998969
1059,187,2020-06-09 00:00:00,Malaysia News,Finance minister: Various Prihatin measures to be implemented concurrently with Penjana,2,[],[],2020,June,09,0.0,2,1,0.9999999999992558
1060,188,2020-06-09 00:00:00,Theedgemalaysia,"Various Prihatin measures to be implemented concurrently with Penjana, says Tengku Zafrul",2,[],[],2020,June,09,0.0,2,1,0.9999999987577338
1061,189,2020-06-09 00:00:00,The Malay Mail Online,Finance minister: Various Prihatin measures to be implemented concurrently with Penjana,2,[],[],2020,June,09,0.0,2,1,0.9999999999992558
1062,190,2020-06-09 00:00:00, Astro Awani,Various Prihatin measures to be implemented concurrently with PENJANA - Tengku Zafrul,2,[],[],2020,June,09,0.0,2,1,0.9999999999997584
